ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
381,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,5,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
382,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
383,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,3,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
384,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
385,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,2,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
386,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,2,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
387,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",2,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
388,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
389,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 4.19 kg of water by 62°C.,Q = mcΔT = 4.19 × 4.18 × 62 = 1086.94 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
390,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
391,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,2,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
392,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
393,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
394,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
395,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,5,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
